,article_source,article_post_date_type,article_title,article_url,article_claim
78,Facebook posts,"stated on March 30, 2020 in a Facebook post:",Says Nancy Pelosi’s “daughter is on the board of the Kennedy Center so that’s why it was so important to send them all that money.”,/factchecks/2020/apr/03/facebook-posts/nancy-pelosis-daughter-isnt-kennedy-center-board/,false
79,Facebook posts,"stated on March 22, 2020 in a Facebook post:","“In Chicago, Covid-19 actually LOWERED the death rate.”",/factchecks/2020/apr/03/facebook-posts/no-coronavirus-did-not-cause-death-rate-drop-chica/,false
80,Facebook posts,"stated on March 23, 2020 in a Facebook post:","“This lady here applied sanitizer to her hands/forearms & went to the kitchen to cook. The moment she turned on the gas stove, her hands caught fire due to the alcohol contained in the sanitizer.”",/factchecks/2020/apr/03/facebook-posts/dont-let-facebook-post-scare-you-hand-sanitizer-fl/,false
81,Jesse Watters,"stated on March 31, 2020 in comments made during an episode of ""The Five"" on the Fox News Channel:","“We were slow with the testing, but very quick with the travel ban. And that's been much more critical in saving lives.”",/factchecks/2020/apr/03/jesse-watters/are-covid-19-travel-restrictions-more-critical-sav/,false
82,Facebook posts,"stated on March 16, 2020 in a Facebook post:",Says the U.S. is developing an “antivirus” that includes a chip to track your movement.,/factchecks/2020/apr/03/facebook-posts/no-us-isnt-developing-vaccine-or-antivirus-chip-tr/,pants-fire
83,Dan Patrick,"stated on March 31, 2020 in a briefing:","Says for the coronavirus, “the death rate in Texas, per capita of 29 million people, we're one of the lowest in the country.""",/factchecks/2020/apr/03/dan-patrick/now-texas-among-states-lowest-coronavirus-death-ra/,mostly-true
84,Facebook posts,"stated on March 29, 2020 in an image:","Says the governors of Michigan, New York and Nevada “have issued orders banning the prescription of hydroxychloroquine to patients with COVID-19.”",/factchecks/2020/apr/02/facebook-posts/chloroquine-not-banned-michigan-new-york-and-nevad/,false
85,Bloggers,"stated on March 31, 2020 in a blog post:","Says Italy arrested a doctor “for intentionally killing over 3,000 coronavirus patients.”",/factchecks/2020/apr/02/blog-posting/no-italy-didnt-arrest-doctor-murdering-thousands-c/,pants-fire
86,Facebook posts,"stated on March 31, 2020 in a Facebook post:","“On February 7, the WHO warned about the limited stock of PPE. That same day, the Trump administration announced it was sending 18 tons of masks, gowns and respirators to China.”",/factchecks/2020/apr/02/facebook-posts/yes-us-shipped-donated-personal-protective-equipme/,true
87,Bloggers,"stated on March 28, 2020 in a blog post:",“Queen Elizabeth tests positive for COVID-19.”,/factchecks/2020/apr/02/blog-posting/no-reports-queen-elizabeth-tested-positive-covid-1/,false
88,Facebook posts,"stated on March 28, 2020 in a Facebook post:",Says COVID-19 remains in the air for eight hours and that everyone is now required to wear masks “everywhere.”,/factchecks/2020/apr/02/facebook-posts/fact-checking-claims-say-covid-19-airborne/,false
89,Viral image,"stated on March 25, 2020 in a Facebook post:",“if your child gets this virus their going to hospital alone in a van with people they don’t know...to be with people they don’t know… you will be at home without them in their time of need.”,/factchecks/2020/apr/02/viral-image/hospitalized-children-can-have-one-parent-present/,pants-fire
90,Jerome Adams,"stated on March 27, 2020 in a television interview:",“They’re furloughing nurses in hospitals in western New York state.”,/factchecks/2020/apr/02/jerome-adams/hospitals-refute-surgeon-generals-claim-about-nurs/,false
91,Bloggers,"stated on March 24, 2020 in a false news article:","Says President Donald Trump will announce that a scientist ""finally found vaccine to cure corona virus.""",/factchecks/2020/apr/01/blog-posting/spam-news-websites-spread-false-claim-about-corona/,pants-fire
92,Facebook posts,"stated on March 31, 2020 in a Facebook post:","Says Ron Johnson said Americans should go back to work, because ""death is an unavoidable part of life.""",/factchecks/2020/apr/01/facebook-posts/ron-johnson-say-americans-back-work-coronavirus/,half-true
93,Jeff Jackson,"stated on March 19, 2020 in a tweet:","Says North Carolina ""hospital beds are typically 85% full across the state.”",/factchecks/2020/apr/01/jeff-jackson/are-nc-hospital-beds-typically-85-full/,half-true
94,Facebook posts,"stated on March 22, 2020 in a Facebook post:","Says Italian Prime Minister Giuseppe Conte said, “We have lost control, we have killed the epidemic physically and mentally. Can’t understand what more we can do, all solutions are exhausted on ground. Our only hope remains up in the Sky, God rescue your people.”",/factchecks/2020/apr/01/facebook-posts/fabricated-quote-falsely-attributed-italian-prime-/,pants-fire
95,Pat Toomey,"stated on March 28, 2020 in a video on Twitter:",“My mask will keep someone else safe and their mask will keep me safe.”,/factchecks/2020/apr/01/pat-toomey/will-homemade-masks-stop-coronavirus-spreading-fac/,true
96,Brian Fitzpatrick,"stated on March 23, 2020 in comments he made on the radio:","“We’ve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.”",/factchecks/2020/apr/01/brian-fitzpatrick/pa-congressman-said-us-coronavirus-trajectory-more/,half-true
97,Facebook posts,"stated on March 27, 2020 in social media:","Shows a waitress saying, ""I lost my job. But I'll sleep better knowing” that the coronavirus relief bill included funding for the Kennedy Center, refugee resettlement, PBS, and congressional salaries: “Thanks, Democrats”",/factchecks/2020/mar/31/facebook-posts/facebook-post-shortchanges-relief-bills-assistance/,barely-true
98,Facebook posts,"stated on March 31, 2020 in a Facebook post:",Says students have to repeat the same grade next year.,/factchecks/2020/mar/31/facebook-posts/dont-fall-these-hoaxes-about-students-having-repea/,pants-fire
99,Facebook posts,"stated on March 29, 2020 in a viral post:","Says a study projects Wisconsin’s coronavirus cases will peak on April 26, 2020",/factchecks/2020/mar/31/facebook-posts/wisconsin-coronavirus-cases-peak-april-26-may-22/,mostly-true
100,Donald Trump,"stated on March 30, 2020 in an interview on ""Fox and Friends"":",“We inherited a broken test” for COVID-19.,/factchecks/2020/mar/31/donald-trump/trump-blames-past-administrations-flawed-covid-19-/,pants-fire
101,Facebook posts,"stated on March 30, 2020 in a Facebook post:",Says certain states are banning the sale of alcohol.,/factchecks/2020/mar/30/facebook-posts/no-states-illinois-and-california-arent-banning-al/,false
102,Facebook posts,"stated on March 20, 2020 in a text post:","Says the Coronavirus Aid, Relief, and Economic Security Act gives members of Congress a pay increase.",/factchecks/2020/mar/30/facebook-posts/congress-did-not-give-itself-raise-coronavirus-sti/,pants-fire
103,Donald Trump,"stated on March 29, 2020 in a press conference:","“I didn’t say that” some of the medical equipment that governors are requesting, they don't actually need.",/factchecks/2020/mar/30/donald-trump/reporter-was-right-trump-did-question/,pants-fire
104,Viral image,"stated on March 25, 2020 in a Facebook post:",“COVID literally stands for Chinese Originated Viral Infectious Disease.”,/factchecks/2020/mar/30/viral-image/covid-stands-coronavirus-disease-2019/,pants-fire
105,Facebook posts,"stated on March 19, 2020 in a Facebook post:","Says imposters in hazmat suits are going door to door in Stockton, Calif., saying they are checking residents for fever or COVID-19, but they “will enter your home and physically attempt robbery.”",/factchecks/2020/mar/30/facebook-posts/another-false-claim-robbers-posing-covid-19-tester/,false
106,Turning Point USA,"stated on March 25, 2020 in a Facebook post:","Says Nevada Gov. Steve Sisolak ""has banned the use of an anti-malaria drug that might help cure coronavirus.”",/factchecks/2020/mar/27/turning-point-usa/conservative-group-meme-distorts-nevadas-chloroqui/,barely-true
107,Donald Trump,"stated on March 26, 2020 in a Hannity show interview:","Speaking of his restriction on travel from China, “I had (Joe) Biden calling me xenophobic. … He called me a racist, because of the fact that he felt it was a racist thing to stop people from China coming in.”",/factchecks/2020/mar/27/donald-trump/fact-checking-whether-biden-called-trump-xenophobi/,barely-true
108,Facebook posts,"stated on March 25, 2020 in a Facebook post:",Says to leave objects in the sun to avoid contracting the coronavirus.,/factchecks/2020/mar/27/facebook-posts/still-no-proof-sunlight-kills-new-coronavirus/,false
109,Duey Stroebel,"stated on March 24, 2020 in a tweet:","Says that under order from Gov. Tony Evers, he and his eight children can’t legally have dinner together anymore.",/factchecks/2020/mar/27/duey-stroebel/has-gov-tony-evers-banned-family-dinners-amid-wisc/,half-true
110,Facebook posts,"stated on March 23, 2020 in a Facebook post:",Says the CDC now says that the coronavirus can survive on surfaces for up to 17 days.,/factchecks/2020/mar/26/facebook-posts/theres-no-evidence-covid-19-can-survive-surfaces-1/,false
111,Facebook posts,"stated on March 20, 2020 in a Facebook post:",Says truck drivers are being turned away from fast-food restaurants during the COVID-19 pandemic.,/factchecks/2020/mar/26/facebook-posts/some-fast-food-chains-turn-away-truckers-drive-thr/,mostly-true
112,John Cornyn,"stated on March 18, 2020 in a press conference:","“China is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and that's why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.”",/factchecks/2020/mar/26/john-cornyn/checking-cornyn-chinese-culture-and-coronavirus/,false
113,Facebook posts,"stated on March 23, 2020 in a Facebook post:",“Donald Trump would receive $17 million for three hotels closed for four days under Republican bill! How in the hell is this right?!”,/factchecks/2020/mar/26/facebook-posts/trump-hotels-would-be-barred-getting-coronavirus-m/,false
114,Facebook posts,"stated on March 21, 2020 in a Facebook post:","“All schools in Canada are closed for the rest of the school year, each family will receive $950 every two weeks for the next 15 weeks, banks were notif(ied) to suspend mortgage payments for at least 6 months, and student loans deferred.”",/factchecks/2020/mar/25/facebook-posts/widespread-facebook-post-overstates-canadian-gover/,half-true
115,Facebook posts,"stated on March 20, 2020 in a Facebook post:",“Australia Closing Borders in a few hours for 6-months”,/factchecks/2020/mar/25/facebook-posts/fact-checking-claim-australias-borders-closure/,half-true
116,Chain message,"stated on March 23, 2020 in a Facebook message:",An audio message lists five ways people can prevent the novel coronavirus.,/factchecks/2020/mar/25/chain-message/audio-shared-facebook-messenger-spreads-false-info/,false
117,Facebook posts,"stated on March 15, 2020 in a Facebook post:",“Bill Gates told us about the coronavirus in 2015.”,/factchecks/2020/mar/25/facebook-posts/bill-gates-warned-2015-we-were-unprepared-infectio/,mostly-true
118,Viral image,"stated on March 16, 2020 in a Facebook post:",Says a military Humvee labeled “COVID-19 quarantine team” was on Interstate 696 in Michigan.,/factchecks/2020/mar/25/viral-image/no-military-doesnt-have-covid-19-quarantine-team-h/,false
119,Facebook posts,"stated on March 21, 2020 in a Facebook post:","""If you are in Las Vegas and you get a knock on your door from NV Power, 2020 Census or CVD-19 testers, do not open your door. They are robbing people at gunpoint.""",/factchecks/2020/mar/25/facebook-posts/beware-rumors-robbers-posing-covid-testers/,false
120,Facebook posts,"stated on March 22, 2020 in a Facebook post:",“Boil some orange peels wit cayenne pepper in it stand over the pot breathe in the steam so all that mucus can release from yo nasal… MUCUS is the problem its where THE VIRUS LIVES!!!”,/factchecks/2020/mar/25/facebook-posts/water-boiled-orange-peels-and-cayenne-pepper-will-/,pants-fire
121,Donald Trump,"stated on March 24, 2020 in a Fox News town hall:","Says N.Y. Gov. Andrew Cuomo “rejected buying recommended 16,000 ventilators in 2015 for the pandemic, for a pandemic, established death panels and lotteries instead. So, he had a chance to buy, in 2015, 16,000 ventilators at a very low price, and he turned it down.”",/factchecks/2020/mar/25/donald-trump/donald-trump-misses-key-facts-claim-new-york-gover/,false
122,Facebook posts,"stated on March 24, 2020 in a Facebook post:",Says Gov. Tony Evers is “pushing firearm confiscation orders”,/factchecks/2020/mar/25/facebook-posts/old-claim-tony-evers-and-gun-confiscation-wrong/,pants-fire
123,Donald Trump,"stated on March 24, 2020 in a campaign ad:",Says Nancy Pelosi’s coronavirus bill includes “tax credits for solar and wind energy … retirement plans for community newspaper employees … $300 million for PBS … climate change studies” and more.,/factchecks/2020/mar/24/donald-trump/trump-campaign-ad-mostly-right-provisions-pelosis-/,mostly-true
124,Bloggers,"stated on March 20, 2020 in an article:",“Fish tank additive may treat coronavirus.”,/factchecks/2020/mar/24/blog-posting/drinking-chloroquine-fish-tank-cleaner-wont-stop-c/,false
125,Chain message,"stated on March 23, 2020 in a video:","""Slices of lemon in a cup of hot water can save your life. The hot lemon can kill the proliferation of"" the novel coronavirus.",/factchecks/2020/mar/24/chain-message/facebook-messenger-video-falsely-claims-hot-lemon-/,false
126,Instagram posts,"stated on March 21, 2020 in an Instagram post:",Says Russia unleashed more than 500 lions on its streets to ensure that people are staying indoors during this pandemic outbreak.,/factchecks/2020/mar/24/instagram-posts/no-russia-didnt-release-lions-enforce-covid-19-sta/,pants-fire
127,JB Pritzker,"stated on March 17, 2020 in remarks at a press conference:",Says it was “unquestionably” not within his “legal authority” to postpone Illinois’ primary election by changing the date or shifting to vote-by-mail.,/factchecks/2020/mar/24/jb-pritzker/did-pritzker-lack-authority-postpone-illinois-prim/,mostly-true
128,Instagram posts,"stated on March 23, 2020 in social media posts:",“Putin has stated: Russian citizens (have) 2 options: Stay home for 15 days or in jail for 5 years.”,/factchecks/2020/mar/24/instagram-posts/putin-didnt-threaten-jail-time-coronavirus-lockdow/,false
129,Facebook posts,"stated on March 17, 2020 in a Facebook post:","""U.S. deaths since 1/22 (2020): COVID-19: 27, flu, 4,700; abortion: 118,000.""",/factchecks/2020/mar/24/facebook-posts/post-leans-flawed-numbers-compare-number-abortions/,barely-true
130,Facebook posts,"stated on March 21, 2020 in a Facebook post:",Quotes Joe Biden as saying “people who have never died before are now dying from coronavirus.”,/factchecks/2020/mar/24/facebook-posts/first-trump-now-biden-neither-said-people-who-have/,pants-fire
131,Chain message,"stated on March 23, 2020 in a Snapchat screenshot:","Says ""special military helicopters will spray pesticide against the Corona virus in the skies all over the country.""",/factchecks/2020/mar/24/chain-message/neighbors-app-spreads-false-rumors-about-mi/,false
132,Facebook posts,"stated on March 15, 2020 in a Facebook post:",Says businesses will give you free baby formula during the coronavirus outbreak.,/factchecks/2020/mar/23/facebook-posts/no-companies-arent-giving-out-free-baby-formula-du/,pants-fire
133,Facebook posts,"stated on March 19, 2020 in a Facebook post:","""Huge! Results From Breaking Chloroquine Study Show 100% Cure Rate For Patients Infected With The Coronavirus.""",/factchecks/2020/mar/23/facebook-posts/100-covid-19-cure-no-chloroquine-effectiveness-onl/,false
134,Facebook posts,"stated on March 15, 2020 in a Facebook post:","“So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.”",/factchecks/2020/mar/23/facebook-posts/what-kushner-linked-company-has-do-coronavirus-tes/,half-true
135,Facebook posts,"stated on March 22, 2020 in a Facebook post:",“Go to 2020census.gov and fill out this census form so you can get your stimulus check.”,/factchecks/2020/mar/23/facebook-posts/no-your-census-response-wont-affect-whether-you-ge/,false
136,Dan Crenshaw,"stated on March 13, 2020 in a tweet:",Says longstanding Food and Drug Administration regulations “created barriers to the private industry creating a test quickly” for the coronavirus.,/factchecks/2020/mar/23/dan-crenshaw/did-fda-regulations-slow-testing-coronavirus/,true
137,Facebook posts,"stated on March 19, 2020 in a Facebook post:",“Wisconsin is the only state where all Republicans voted against protecting its citizens.”,/factchecks/2020/mar/20/facebook-posts/yes-wisconsin-only-state-where-all-republicans-opp/,mostly-true
138,Andrew Cuomo,"stated on March 17, 2020 in a news conference:",“No city in the state can quarantine itself without state approval.”,/factchecks/2020/mar/20/andrew-cuomo/cuomo-correctly-says-no-quarantine-without-state-a/,true
139,Marco Rubio,"stated on March 19, 2020 in a tweet:",For coronavirus cases “in the U.S. 38% of those hospitalized are under 35.”,/factchecks/2020/mar/20/marco-rubio/young-people-are-being-hospitalized-covid-19-too-l/,barely-true
140,Chain message,"stated on March 19, 2020 in a text:","The federal government is “preparing to mobilize the national guard,” “dispatch them across the US with military” and “announce a nationwide 1 week quarantine for all citizens.”",/factchecks/2020/mar/20/chain-message/chain-message-wrong-about-national-guard-military-/,false
141,Greg Murphy,"stated on March 16, 2020 in a tweet:",“Sunlight actually can kill the (novel coronavirus.)”,/factchecks/2020/mar/20/greg-murphy/no-sunlight-has-not-been-proven-kill-coronavirus/,false
142,Facebook posts,"stated on March 18, 2020 in an infographic:","2019 coronavirus can live for ""up to 3 hours in the air, up to 4 hours on copper, up to 24 hours on cardboard up to 3 days on plastic and stainless steel.”",/factchecks/2020/mar/20/facebook-posts/covid-19-could-live-3-days-depending-surface/,mostly-true
143,Facebook posts,"stated on March 17, 2020 in a Facebook post:",“People are going door to door in Colorado Springs stating they are COVID testing so they can rob people!!!!”,/factchecks/2020/mar/19/facebook-posts/no-truth-report-about-robbers-posing-coronavirus-t/,false
144,Facebook posts,"stated on March 19, 2020 in a post:","Says ""there is no"" COVID-19 virus.",/factchecks/2020/mar/19/facebook-posts/facebook-users-are-claiming-there-no-coronavirus-s/,pants-fire
145,Donald Trump,"stated on March 14, 2020 in a news conference:","Says that “over a 45-minute period that we had the press conference” on the coronavirus on March 13, 2020, the stock market set ""an all-time record.""",/factchecks/2020/mar/19/donald-trump/stock-market-record-point-rise-followed-record-poi/,half-true
146,David A. Clarke Jr.,"stated on March 15, 2020 in a tweet:",Says coronavirus is just “the damn flu.”,/factchecks/2020/mar/19/david-clarke-jr/former-sheriff-david-clarke-rants-coronavirus-just/,pants-fire
147,Donald Trump,"stated on March 18, 2020 in comments made during a White House media briefing:","The coronavirus ""snuck up on us,” adding that it is “a very unforeseen thing.”",/factchecks/2020/mar/19/donald-trump/was-novel-coronavirus-really-sneaky-its-spread-us-/,pants-fire
148,Facebook posts,"stated on March 18, 2020 in a Facebook post:","Says President Donald Trump said, “People are dying who have never died before.”",/factchecks/2020/mar/19/facebook-posts/no-trump-didnt-say-people-are-dying-who-have-never/,pants-fire
149,Facebook posts,"stated on March 15, 2020 in a text post:","""George Soros owns the WuXi PHARMA LAB located in Wuhan, China where COVID-19 was developed and conveniently Broke Out.""",/factchecks/2020/mar/19/facebook-posts/conspiracy-theory-falsely-connects-george-soros-co/,false
150,Bloggers,"stated on March 13, 2020 in a blog post:",Says the New York Times exposed the “real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances.”,/factchecks/2020/mar/19/blog-posting/blog-pushes-conspiracy-coronavirus-was-invented-hu/,pants-fire
151,Viral image,"stated on March 18, 2020 in a Facebook post:","Says Donald Trump tweeted, “I ordered the Treasury secretary to send checks to Americans! First however, we will go through your social media history from the last 4 years and search for any post with #NotMyPresident in it. I wouldn’t think of offending you with a check if I’m not your president! #MAGA”",/factchecks/2020/mar/19/viral-image/no-trump-didnt-tweet-about-1000-checks/,pants-fire
152,Donald Trump,"stated on March 17, 2020 in a White House news conference:","“I've always known this is a real, this is a pandemic. I've felt it was a pandemic long before it was called a pandemic.”",/factchecks/2020/mar/18/donald-trump/trump-says-he-always-felt-coronavirus-was-pandemic/,pants-fire
153,Viral image,"stated on March 13, 2020 in a viral image:","“President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life.”",/factchecks/2020/mar/18/viral-image/numbers-suggesting-h1n1-worse-covid-19-are-mislead/,barely-true
154,Facebook posts,"stated on March 14, 2020 in a Facebook post:",“Italy has decided not to treat their elderly for this virus.”,/factchecks/2020/mar/18/facebook-posts/italys-overwhelmed-hospitals-are-treating-elderly-/,barely-true
155,Facebook posts,"stated on March 17, 2020 in a Facebook post:","“All US citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting from March 17.”",/factchecks/2020/mar/18/facebook-posts/no-americans-arent-getting-700-weekly-checks-start/,false
